wallet,total_deposit_usd,total_borrow_usd,total_repay_usd,repay_ratio,borrow_to_deposit_ratio,deposit_frequency,liquidation_count,redeem_count,unique_assets,avg_tx_interval,score
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,1196.3032316799445,0.0,0.0,0.0,0.0,5,0,1,2,1179502.0,700
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,2.360514637371101e-14,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,700
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,1.1579563337896022,0.0,0.0,0.0,0.0,2,0,0,2,528500.0,700
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1.10570237623672,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x002379916ac42a432f3b53f16782d33267debb4c,1.1886507952922616,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2.2596098782034474e-12,0.0,0.0,0.0,0.0,2,0,0,1,471614.0,700
0x0023d9ffe7d793895c5da5833d56c737832ead2b,1.5189578905507385e-11,0.0,0.0,0.0,0.0,2,0,0,1,74.0,700
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,5.1299814105567535e-12,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,3.1033054982620953,0.0,0.0,0.0,0.0,2,0,0,1,87642.0,700
0x0024461e7a8ce7157866eaa4c24b702d328250ce,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,700
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,0.026044090290244567,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x00246f7813397868b1beec56e1677efa47816dae,7438978.731874706,5816299.44346321,5472177.71761479,0.9408349365101604,0.7818680027328747,30,0,3,1,42249.232558139534,850
0x0025a856d01a898bd52286d56c52323b13937b65,0.1422024974218183,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x00261d225db379b3fc74cd0228d6f90582d39035,0.032239917783138006,0.004713438272388597,0.0,0.0,0.14619883040935672,1,0,0,1,0.0,700
0x00262ffcfda82b5582d1905ca05b849f196b0419,1.0141967361600111e-10,5.724285810787879e-11,5.695340624693982e-11,0.994943441496344,0.5644157200171418,4,0,2,2,36100.0,900
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,0.16209142428199927,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1.862989298047552e-12,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,0.2045908664031135,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x002775390698ef16589bb22bba37ae7906ae2f36,81.79004375676156,68.52293627181608,3.386308266868168,0.049418610046647674,0.8377906787236717,17,0,1,5,60373.24137931035,700
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1.8864509259060726e-12,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x0027f7335d610f15b325baa5798414548720fcaa,646.5885046937107,1.5686763662421106e-09,1.5716110933811845e-09,1.0018708302121644,2.4260814333301415e-12,6,0,3,2,9735.0,900
0x00283b611db7844cb5677b311afd67c8e3078518,7.20152067392015e-12,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,0.03737532010034612,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2.123490954986433,0.0,0.0,0.0,0.0,2,0,0,1,320940.0,700
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1.1058755718750976e-12,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x002aea16059a7d4bef638a03b61a9e80ef07e745,2085.940883981687,962.2995982105101,5.838228517532286e-07,6.06695516488736e-10,0.46132639980364776,12,0,14,6,178545.625,800
0x002bb13a55bf4525f02717708dd4534ecc475193,3.1415513028579413e-12,0.0,0.0,0.0,0.0,2,0,0,1,68.0,700
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1.1597473478486582e-12,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,0.3547587375051269,2.7225309172016468e-12,2.7225309172016468e-12,1.0,7.674316738040317e-12,2,0,1,2,389331.75,900
0x002d2715b179d0db3e17cc28317a98f2f65e6884,171702.46815323565,31579.052641518683,13121.661889422501,0.4155179079745649,0.1839172900725923,98,0,53,8,34932.38888888889,800
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1.058311089277293,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,7541.229326265331,4.5074620831285474e-09,1.386103831655126e-09,0.3075131428932746,5.977091914483383e-13,5,0,3,4,397271.6785714286,750
0x002de04d579930686698abab5f48bda0b24fb9fc,45576.11237307445,4.306764650300531e-08,4.37741009996205e-08,1.016403368978286,9.449609512646566e-13,32,0,25,7,82631.25,1000
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,8185.806955103062,2495.5332672426603,2495.5332672426603,1.0,0.30486099671418904,1,0,1,2,44.0,900
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,1.5030517322502182e-11,0.0,0.0,0.0,0.0,1,0,5,3,1243257.0,700
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1.2361424916557983e-14,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,7103.870377338909,144.77163586772272,2.528028174943289e-09,1.746217869122608e-11,0.0203792620329249,61,0,9,6,84943.30841121495,800
0x0030040e8d836ac3e546c354f9b373e70a14deeb,0.0,0.0,0.0,0.0,0.0,0,0,2,2,246.0,700
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,16297.731895335117,4916.033571209256,0.0,0.0,0.3016391239456066,35,0,0,6,61654.350877192985,800
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1.815047297099417,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,1.967159780669421e-10,0.0,0.0,0.0,0.0,1,0,2,1,1439000.0,700
0x003094a91a3b5523bc601b221f80183bd347e9ae,2.2596098782034474e-12,0.0,0.0,0.0,0.0,2,0,0,1,471634.0,700
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,0.04768792449483425,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,94769.29623780605,54754.060809285016,53839.649511519,0.9832996624496761,0.5777616061629266,37,0,8,6,95750.90909090909,1000
